Station,LAT,LONG
kaki bukit mrt,1.33496735995428,103.908459338046
bedok north mrt,1.33474211664091,103.91797832995
bedok reservoir mrt,1.33660782955099,103.932234623286
tampines west mrt,1.34551530560119,103.938436971222
tampines mrt,1.34551530560119,103.938436971222
tampines east mrt,1.35619148271544,103.9546344625
upper changi mrt,1.34173977444995,103.961472788634
expo mrt,1.33538252614956,103.962374747451
woodlands north mrt,1.44829245259621,103.785692682441
woodlands mrt,1.43605761708128,103.787938777173
woodlands south mrt,1.42739605281442,103.79326432221
